feature,passed_distribution,failed_distribution,safe_rejection_count,unsafe_rejection_count,candidate_rule
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",53,45,reject if q_value_mod_30 == 11
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",51,43,reject if q_value_mod_30 == 13
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",48,43,reject if q_value_mod_30 == 23
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",46,40,reject if q_value_mod_30 == 17
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",40,43,reject if q_value_mod_30 == 7
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",47,41,reject if gap_offset == 6
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",39,35,reject if gap_offset == 12
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",38,26,reject if gap_offset == 4
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",37,27,reject if gap_offset == 2
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",27,24,reject if gap_offset == 8
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",23,39,reject if gap_offset == 10
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",22,26,reject if gap_offset == 18
gap_offset,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",20,22,reject if gap_offset == 14
